勝式	組番	頻度数	平均払い戻し金額
1T	1	403811	181
1T	2	127895	489
1T	3	106989	558
1T	4	91763	624
1T	5	52045	920
1T	6	33271	992
2T	12	135226	501
2T	13	107472	607
2T	14	80690	757
2T	15	49780	1251
2T	16	33942	1779
2T	21	54882	1204
2T	23	27550	2065
2T	24	22158	2450
2T	25	15510	3130
2T	26	12030	3844
2T	31	38732	1528
2T	32	23485	2758
2T	34	21795	2504
2T	35	15400	3280
2T	36	11615	3898
2T	41	29474	1841
2T	42	18773	3042
2T	43	16177	3390
2T	45	18629	2969
2T	46	12646	3838
2T	51	17576	3197
2T	52	10729	4599
2T	53	9208	5061
2T	54	10446	5205
2T	56	7659	5553
2T	61	10980	4008
2T	62	7743	5698
2T	63	6397	6118
2T	64	6212	6566
2T	65	5000	7397
2F	12	190066	371
2F	13	146194	453
2F	14	110155	563
2F	15	67346	932
2F	16	44899	1282
2F	23	51017	1140
2F	24	40924	1304
2F	25	26230	1769
2F	26	19751	2186
2F	34	37958	1382
2F	35	24597	1908
2F	36	18001	2244
2F	45	29049	1831
2F	46	18838	2333
2F	56	12607	3010
3T	123	49129	1401
3T	124	38140	1617
3T	125	26828	2316
3T	126	21098	3052
3T	132	35950	1897
3T	134	31240	1917
3T	135	22655	2463
3T	136	17609	3362
3T	142	26990	2269
3T	143	23083	2555
3T	145	16510	3237
3T	146	14097	3989
3T	152	15959	4085
3T	153	13830	4369
3T	154	11193	5203
3T	156	8788	6101
3T	162	10799	6037
3T	163	9080	6415
3T	164	8009	7623
3T	165	6031	8717
3T	213	17964	3657
3T	214	15719	4083
3T	215	11629	5207
3T	216	9549	6273
3T	231	8521	6666
3T	234	7726	6922
3T	235	6040	8429
3T	236	5253	10036
3T	241	7227	7957
3T	243	6080	9067
3T	245	4783	10142
3T	246	4060	11337
3T	251	4682	10982
3T	253	4281	12175
3T	254	3586	13683
3T	256	2957	15255
3T	261	3628	14901
3T	263	3309	15894
3T	264	2795	16378
3T	265	2284	19922
3T	312	9860	5586
3T	314	11861	5105
3T	315	9466	5821
3T	316	7540	7523
3T	321	6598	8661
3T	324	6740	9659
3T	325	5478	11330
3T	326	4658	12945
3T	341	6374	7848
3T	342	5354	11088
3T	345	5417	9550
3T	346	4638	11013
3T	351	4562	11204
3T	352	3820	14492
3T	354	3854	13787
3T	356	3153	14630
3T	361	3273	14661
3T	362	2924	18853
3T	364	2960	16644
3T	365	2455	18763
3T	412	8320	6150
3T	413	6661	7544
3T	415	7891	7157
3T	416	6599	8660
3T	421	6018	9567
3T	423	4181	12544
3T	425	4521	12499
3T	426	4051	14130
3T	431	4612	11044
3T	432	3629	14286
3T	435	4211	13605
3T	436	3714	15497
3T	451	5875	9490
3T	452	4413	12290
3T	453	3698	14674
3T	456	4631	10803
3T	461	3865	13763
3T	462	3023	17026
3T	463	2643	19180
3T	465	3099	16089
3T	512	5086	11212
3T	513	4474	12166
3T	514	4012	14038
3T	516	4001	14827
3T	521	3501	15474
3T	523	2589	18533
3T	524	2199	20569
3T	526	2438	21262
3T	531	2705	16989
3T	532	2286	20403
3T	534	2154	22936
3T	536	2057	22789
3T	541	3210	17833
3T	542	2493	21282
3T	543	1969	25358
3T	546	2760	20419
3T	561	2404	21262
3T	562	1928	24143
3T	563	1652	25630
3T	564	1649	25866
3T	612	3377	14745
3T	613	2965	16029
3T	614	2590	18697
3T	615	2040	21070
3T	621	2498	19723
3T	623	1981	22328
3T	624	1781	23956
3T	625	1473	29173
3T	631	1890	22385
3T	632	1578	24704
3T	634	1604	26446
3T	635	1320	29180
3T	641	1908	23706
3T	642	1587	26465
3T	643	1416	30124
3T	645	1292	28851
3T	651	1517	29333
3T	652	1260	31604
3T	653	1065	33478
3T	654	1137	32435
3F	123	127891	521
3F	124	102382	615
3F	125	67650	936
3F	126	50897	1255
3F	134	83813	716
3F	135	57681	996
3F	136	42348	1364
3F	145	48672	1231
3F	146	37052	1577
3F	156	24745	2174
3F	234	33687	1526
3F	235	24479	1978
3F	236	19681	2458
3F	245	21976	2230
3F	246	17277	2570
3F	256	12296	3337
3F	345	21267	2301
3F	346	16949	2772
3F	356	11659	3315
3F	456	14305	2921
